Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
动作参数错误,Action_Parameter_Error,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.动作参数错误
HPLC请求加工,HPLC_Processing_Request,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.HPLC请求加工
HPLC池占位,HPLC_Pool_Occupied,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.HPLC池占位
HPLC开始加工,HPLC_Start_Processing,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.HPLC开始加工
HPLC工站初始化完成,HPLC_Workstation_Initialization_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.HPLC工站初始化完成
HPLC工站初始化,HPLC_Workstation_Initialize,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.HPLC工站初始化
HPLC参数已执行,HPLC_Parameters_Executed,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.HPLC参数已执行
HPLC参数已下发,HPLC_Parameters_Sent,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.HPLC参数已下发
HPLC加工完成,HPLC_Processing_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.HPLC加工完成
粉筒占位,Powder_In_Solid_Weighing_Occupied,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.粉筒占位
当前机械手流程步,Robotic_Arm_Current_Step,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.当前机械手流程步
当前固体称量流程步,Solid_Weighing_Current_Step,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.当前固体称量流程步
当前磁搅流程步,Magnetic_Stirrer_Current_Step,VARIABLE,INT16,Chinese,ns=2;s=test1.device9.当前磁搅流程步
固体粉末仪开门,Solid_Weighing_Open_Door,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体粉末仪开门
固体粉末仪关门,Solid_Weighing_Close_Door,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体粉末仪关门
固体粉末仪开门完成,Solid_Weighing_Open_Door_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体粉末仪开门完成
固体粉末仪关门完成,Solid_Weighing_Close_Door_Complete,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.固体粉末仪关门完成
心跳,Heart_Beat,VARIABLE,BOOLEAN,Chinese,ns=2;s=test1.device9.心跳
