序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,node_id
27,S045准备信号,BOOL,,OFF,保持,公有,磁搅工位5_PLC TO PC 设备可以取放料,R10440.0,ns=4;s=上位机通讯|S045准备信号
28,S045磁搅状态,INT,,0,保持,公有,磁搅工位5_PLC TO PC  1空闲，2Busy,R10441,ns=4;s=上位机通讯|S045磁搅状态
29,S045允许加工,BOOL,,OFF,保持,公有,磁搅工位5_PLC TO PC 放料完成等待参数下发,R10440.1,ns=4;s=上位机通讯|S045允许加工
30,S045磁搅工艺选择,INT,,0,保持,公有,磁搅工位5_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10442,ns=4;s=上位机通讯|S045磁搅工艺选择
31,S045参数写入完成,BOOL,,OFF,保持,公有,磁搅工位5_PC TO PLC ,R10440.2,ns=4;s=上位机通讯|S045参数写入完成
32,S045加工完成,BOOL,,OFF,保持,公有,磁搅工位5_PLC TO PC,R10440.3,ns=4;s=上位机通讯|S045加工完成
33,S046准备信号,BOOL,,OFF,保持,公有,磁搅工位6_PLC TO PC 设备可以取放料,R10450.0,ns=4;s=上位机通讯|S046准备信号
34,S046磁搅状态,INT,,0,保持,公有,磁搅工位6_PLC TO PC  1空闲，2Busy,R10451,ns=4;s=上位机通讯|S046磁搅状态
35,S046允许加工,BOOL,,OFF,保持,公有,磁搅工位6_PLC TO PC 放料完成等待参数下发,R10450.1,ns=4;s=上位机通讯|S046允许加工
36,S046磁搅工艺选择,INT,,0,保持,公有,磁搅工位6_PC TO PLC 1搅拌，2加热，3搅拌+加热,R10452,ns=4;s=上位机通讯|S046磁搅工艺选择
37,S046参数写入完成,BOOL,,OFF,保持,公有,磁搅工位6_PC TO PLC ,R10450.2,ns=4;s=上位机通讯|S046参数写入完成
38,S046加工完成,BOOL,,OFF,保持,公有,磁搅工位6_PLC TO PC,R10450.3,ns=4;s=上位机通讯|S046加工完成
39,磁搅温度反馈_上位机,REAL[6],,...,保持,公有,,R10460,ns=4;s=上位机通讯|磁搅温度反馈_上位机
,磁搅温度反馈_上位机[0],REAL,,0.000000,,,,R10460,ns=4;s=上位机通讯|磁搅温度反馈_上位机[0]
,磁搅温度反馈_上位机[1],REAL,,0.000000,,,,R10462,ns=4;s=上位机通讯|磁搅温度反馈_上位机[1]
