Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,设备模块
复位完成反馈,System_ResetCompleteFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.System_ResetCompleteFB,总复位
复位触发,System_ResetTrig,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.System_ResetTrig,
停止触发,System_StopTrig,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.System_StopTrig,停止
常规烘箱温度反馈,Oven_TempFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_TempFB,"常规烘箱
1=启动
2=复位/停止"
常规烘箱完成反馈,Oven_CompleteFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_CompleteFB,
常规烘箱运行温度设置,Oven_TempSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_TempSet,
常规烘箱运行时间设置(小时),Oven_TimeHourSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_TimeHourSet,
常规烘箱运行时间设置(分钟),Oven_TimeMinuteSet,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_TimeMinuteSet,
常规烘箱指令类型,Oven_CmdType,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_CmdType,
常规烘箱指令触发,Oven_CmdTrig,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_CmdTrig,
常规烘箱运行状态,Oven_Running_Status,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Oven_Running_Status,
真空烘箱温度反馈,VacuumOven_TempFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempFB,"真空烘箱
1=启动
2=复位"
真空烘箱时间反馈,VacuumOven_TimeFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeFB,
真空烘箱气压反馈,VacuumOven_PressureFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_PressureFB,
真空烘箱完成反馈,VacuumOven_CompleteFB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_CompleteFB,
真空烘箱运行温度设置1,VacuumOven_TempSet_1,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_1,
真空烘箱运行时间设置1,VacuumOven_TimeSet_1,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_1,
真空烘箱真空控制上限1,VacuumOven_VacuumHigh_1,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_1,
真空烘箱真空控制下限1,VacuumOven_VacuumLow_1,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_1,
真空烘箱运行温度设置2,VacuumOven_TempSet_2,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_2,
真空烘箱运行时间设置2,VacuumOven_TimeSet_2,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_2,
真空烘箱真空控制上限2,VacuumOven_VacuumHigh_2,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_2,
真空烘箱真空控制下限2,VacuumOven_VacuumLow_2,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_2,
真空烘箱运行温度设置3,VacuumOven_TempSet_3,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_3,
真空烘箱运行时间设置3,VacuumOven_TimeSet_3,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_3,
