Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,描述,设备模块指令
QuickChange_PushPosFB,QuickChange_PushPosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_PushPosFB,推轴反馈,
QuickChange_Z3PosFB,QuickChange_Z3PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z3PosFB,Z3位置反馈,
QuickChange_CompleteFB,QuickChange_CompleteFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_CompleteFB,完成反馈,
QuickChange_XPosSet,QuickChange_XPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_XPosSet,X运行位置,
QuickChange_TopZPosSet,QuickChange_TopZPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_TopZPosSet,顶料Z位置,
QuickChange_TakeZPosSet,QuickChange_TakeZPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_TakeZPosSet,接料Z位置,
QuickChange_PushPosSet,QuickChange_PushPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_PushPosSet,推轴运行位置,
QuickChange_PushZPosSet,QuickChange_PushZPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_PushZPosSet,压料Z运行位置,
QuickChange_XSpeed,QuickChange_XSpeed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_XSpeed,X速度,
QuickChange_Z1Speed,QuickChange_Z1Speed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z1Speed,Z1速度,
QuickChange_Z2Speed,QuickChange_Z2Speed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z2Speed,Z2速度,
QuickChange_PushSpeed,QuickChange_PushSpeed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_PushSpeed,推轴速度,
QuickChange_Z3Speed,QuickChange_Z3Speed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_Z3Speed,Z3速度,
QuickChange_CmdType,QuickChange_CmdType,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_CmdType,指令类型,快换: 1=X向左;2=X向右;3=Z1向左;4=Z1向右;5=Z2向左;6=Z2向右;7=推轴向左;8=推轴向右;9=Z3向左;10=Z3向右;11=物料顶出;12=物料放置;13=磁力搅拌运行;14=复位
QuickChange_CmdTrig,QuickChange_CmdTrig,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_CmdTrig,指令触发,
QuickChange_StirRPM,QuickChange_StirRPM,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_StirRPM,磁力搅拌转速,
QuickChange_StirTemp,QuickChange_StirTemp,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_StirTemp,磁力搅拌温度,
QuickChange_StirTime,QuickChange_StirTime,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.QuickChange_StirTime,磁力搅拌时间(分),
Centrifuge_YPosFB,Centrifuge_YPosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_YPosFB,Y位置反馈,
Centrifuge_ZPosFB,Centrifuge_ZPosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_ZPosFB,Z位置反馈,
Centrifuge_CompleteFB,Centrifuge_CompleteFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_CompleteFB,完成反馈,
Centrifuge_YPosSet,Centrifuge_YPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_YPosSet,Y运行位置,
Centrifuge_ZPosSet,Centrifuge_ZPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_ZPosSet,台面Z位置,
Centrifuge_InnerZPosSet,Centrifuge_InnerZPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_InnerZPosSet,离心机内Z位置,
Centrifuge_RPM,Centrifuge_RPM,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_RPM,离心机转速,
Centrifuge_Time,Centrifuge_Time,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_Time,离心机时间,
Centrifuge_PlateNo,Centrifuge_PlateNo,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_PlateNo,"离心机里板位号(1,2,3,4)",
Centrifuge_Temperature_feedback,Centrifuge_Temperature_feedback,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_Temperature_feedback,离心机温度反馈,
iTemperature,iTemperature,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.iTemperature,离心机温度设置,
